p_sigma,p_mu,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.006,0.0297635144163132,0.5,"(7, 7)",center data,13,3,50000,24943,0.49886,0.1662866667,heterogeneous-defect
0.006,0.0297635144163132,0.75,"(7, 7)",center data,13,3,50000,25124,0.50248,0.1674933333,heterogeneous-defect
0.006,0.0379269019073225,0.0,"(7, 7)",center data,13,3,50000,24951,0.49902,0.16634,heterogeneous-defect
0.006,0.0379269019073225,0.05,"(7, 7)",center data,13,3,50000,24944,0.49888,0.1662933333,heterogeneous-defect
0.006,0.0379269019073225,0.25,"(7, 7)",center data,13,3,50000,25064,0.50128,0.1670933333,heterogeneous-defect
0.006,0.0379269019073225,0.5,"(7, 7)",center data,13,3,50000,24831,0.49662,0.16554,heterogeneous-defect
0.006,0.0483293023857175,0.0,"(7, 7)",center data,13,3,50000,24881,0.49762,0.1658733333,heterogeneous-defect
0.006,0.0379269019073225,0.75,"(7, 7)",center data,13,3,50000,25170,0.5034,0.1678,heterogeneous-defect
0.006,0.0483293023857175,0.05,"(7, 7)",center data,13,3,50000,24974,0.49948,0.1664933333,heterogeneous-defect
0.006,0.0483293023857175,0.25,"(7, 7)",center data,13,3,50000,24876,0.49752,0.16584,heterogeneous-defect
0.006,0.0483293023857175,0.5,"(7, 7)",center data,13,3,50000,25173,0.50346,0.16782,heterogeneous-defect
0.006,0.0483293023857175,0.75,"(7, 7)",center data,13,3,50000,25027,0.50054,0.1668466667,heterogeneous-defect
0.006,0.0615848211066026,0.0,"(7, 7)",center data,13,3,50000,24943,0.49886,0.1662866667,heterogeneous-defect
0.006,0.0615848211066026,0.05,"(7, 7)",center data,13,3,50000,24983,0.49966,0.1665533333,heterogeneous-defect
0.006,0.0615848211066026,0.25,"(7, 7)",center data,13,3,50000,25006,0.50012,0.1667066667,heterogeneous-defect
0.006,0.0615848211066026,0.5,"(7, 7)",center data,13,3,50000,24945,0.4989,0.1663,heterogeneous-defect
0.006,0.0615848211066026,0.75,"(7, 7)",center data,13,3,50000,25151,0.50302,0.1676733333,heterogeneous-defect
0.006,0.0784759970351461,0.0,"(7, 7)",center data,13,3,50000,24938,0.49876,0.1662533333,heterogeneous-defect
0.006,0.0784759970351461,0.05,"(7, 7)",center data,13,3,50000,25112,0.50224,0.1674133333,heterogeneous-defect
0.006,0.0784759970351461,0.25,"(7, 7)",center data,13,3,50000,24830,0.4966,0.1655333333,heterogeneous-defect
0.006,0.0784759970351461,0.5,"(7, 7)",center data,13,3,50000,25054,0.50108,0.1670266667,heterogeneous-defect
0.006,0.0784759970351461,0.75,"(7, 7)",center data,13,3,50000,24918,0.49836,0.16612,heterogeneous-defect
0.006,0.1,0.0,"(7, 7)",center data,13,3,50000,25090,0.5018,0.1672666667,heterogeneous-defect
0.006,0.1,0.05,"(7, 7)",center data,13,3,50000,24901,0.49802,0.1660066667,heterogeneous-defect
0.006,0.1,0.25,"(7, 7)",center data,13,3,50000,25026,0.50052,0.16684,heterogeneous-defect
0.006,0.1,0.5,"(7, 7)",center data,13,3,50000,24987,0.49974,0.16658,heterogeneous-defect
0.006,0.1,0.75,"(7, 7)",center data,13,3,50000,24902,0.49804,0.1660133333,heterogeneous-defect
0.006,0.00162377673918872,0.05,"(8, 8)",center data,15,3,50000,361,0.00722,0.002406666667,heterogeneous-defect
0.006,0.001,0.05,"(8, 8)",center data,15,3,50000,264,0.00528,0.00176,heterogeneous-defect
0.006,0.00127427498570313,0.05,"(8, 8)",center data,15,3,50000,250,0.005,0.001666666667,heterogeneous-defect
0.006,0.00127427498570313,0.0,"(8, 8)",center data,15,3,50000,225,0.0045,0.0015,heterogeneous-defect
0.006,0.00162377673918872,0.0,"(8, 8)",center data,15,3,50000,219,0.00438,0.00146,heterogeneous-defect
0.006,0.001,0.25,"(8, 8)",center data,15,3,50000,236,0.00472,0.001573333333,heterogeneous-defect
0.006,0.00127427498570313,0.5,"(8, 8)",center data,15,3,50000,277,0.00554,0.001846666667,heterogeneous-defect
0.006,0.001,0.75,"(8, 8)",center data,15,3,50000,148,0.00296,0.0009866666667,heterogeneous-defect
0.006,0.00127427498570313,0.25,"(8, 8)",center data,15,3,50000,325,0.0065,0.002166666667,heterogeneous-defect
0.006,0.00127427498570313,0.75,"(8, 8)",center data,15,3,50000,446,0.00892,0.002973333333,heterogeneous-defect
0.006,0.001,0.0,"(8, 8)",center data,15,3,50000,238,0.00476,0.001586666667,heterogeneous-defect
0.006,0.001,0.5,"(8, 8)",center data,15,3,50000,532,0.01064,0.003546666667,heterogeneous-defect
0.006,0.00162377673918872,0.25,"(8, 8)",center data,15,3,50000,379,0.00758,0.002526666667,heterogeneous-defect
0.006,0.00162377673918872,0.5,"(8, 8)",center data,15,3,50000,602,0.01204,0.004013333333,heterogeneous-defect
0.006,0.00162377673918872,0.75,"(8, 8)",center data,15,3,50000,455,0.0091,0.003033333333,heterogeneous-defect
0.006,0.00206913808111479,0.0,"(8, 8)",center data,15,3,50000,265,0.0053,0.001766666667,heterogeneous-defect
0.006,0.00206913808111479,0.05,"(8, 8)",center data,15,3,50000,492,0.00984,0.00328,heterogeneous-defect
0.006,0.00206913808111479,0.25,"(8, 8)",center data,15,3,50000,389,0.00778,0.002593333333,heterogeneous-defect
0.006,0.00206913808111479,0.5,"(8, 8)",center data,15,3,50000,579,0.01158,0.00386,heterogeneous-defect
0.006,0.00263665089873036,0.0,"(8, 8)",center data,15,3,50000,499,0.00998,0.003326666667,heterogeneous-defect
0.006,0.00206913808111479,0.75,"(8, 8)",center data,15,3,50000,739,0.01478,0.004926666667,heterogeneous-defect
0.006,0.00263665089873036,0.05,"(8, 8)",center data,15,3,50000,407,0.00814,0.002713333333,heterogeneous-defect
0.006,0.00263665089873036,0.25,"(8, 8)",center data,15,3,50000,485,0.0097,0.003233333333,heterogeneous-defect
0.006,0.00263665089873036,0.5,"(8, 8)",center data,15,3,50000,644,0.01288,0.004293333333,heterogeneous-defect
0.006,0.00263665089873036,0.75,"(8, 8)",center data,15,3,50000,867,0.01734,0.00578,heterogeneous-defect
0.006,0.00335981828628378,0.0,"(8, 8)",center data,15,3,50000,456,0.00912,0.00304,heterogeneous-defect
0.006,0.00335981828628378,0.05,"(8, 8)",center data,15,3,50000,874,0.01748,0.005826666667,heterogeneous-defect
0.006,0.00335981828628378,0.5,"(8, 8)",center data,15,3,50000,1169,0.02338,0.007793333333,heterogeneous-defect
0.006,0.00335981828628378,0.25,"(8, 8)",center data,15,3,50000,566,0.01132,0.003773333333,heterogeneous-defect
0.006,0.00335981828628378,0.75,"(8, 8)",center data,15,3,50000,970,0.0194,0.006466666667,heterogeneous-defect
0.006,0.0042813323987194,0.0,"(8, 8)",center data,15,3,50000,1416,0.02832,0.00944,heterogeneous-defect
0.006,0.0042813323987194,0.05,"(8, 8)",center data,15,3,50000,1119,0.02238,0.00746,heterogeneous-defect
0.006,0.0042813323987194,0.25,"(8, 8)",center data,15,3,50000,1045,0.0209,0.006966666667,heterogeneous-defect
