p_sigma,p_mu,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.015,0.00335981828628378,7,3,50000,14969,0.29938,0.09979333333,heterogeneous
0.0,0.0042813323987194,7,3,50000,1066,0.02132,0.007106666667,heterogeneous
0.006,0.0042813323987194,7,3,50000,4040,0.0808,0.02693333333,heterogeneous
0.009,0.0042813323987194,7,3,50000,5792,0.11584,0.03861333333,heterogeneous
0.011,0.0042813323987194,7,3,50000,9246,0.18492,0.06164,heterogeneous
0.015,0.0042813323987194,7,3,50000,13808,0.27616,0.09205333333,heterogeneous
0.0,0.00545559478116852,7,3,50000,2070,0.0414,0.0138,heterogeneous
0.006,0.00545559478116852,7,3,50000,3301,0.06602,0.02200666667,heterogeneous
0.009,0.00545559478116852,7,3,50000,6981,0.13962,0.04654,heterogeneous
0.011,0.00545559478116852,7,3,50000,10734,0.21468,0.07156,heterogeneous
0.015,0.00545559478116852,7,3,50000,12841,0.25682,0.08560666667,heterogeneous
0.0,0.0069519279617756,7,3,50000,4027,0.08054,0.02684666667,heterogeneous
0.006,0.0069519279617756,7,3,50000,6148,0.12296,0.04098666667,heterogeneous
0.009,0.0069519279617756,7,3,50000,9256,0.18512,0.06170666667,heterogeneous
0.011,0.0069519279617756,7,3,50000,10146,0.20292,0.06764,heterogeneous
0.015,0.0069519279617756,7,3,50000,17049,0.34098,0.11366,heterogeneous
0.0,0.00885866790410082,7,3,50000,7110,0.1422,0.0474,heterogeneous
0.006,0.00885866790410082,7,3,50000,9104,0.18208,0.06069333333,heterogeneous
0.009,0.00885866790410082,7,3,50000,9914,0.19828,0.06609333333,heterogeneous
0.011,0.00885866790410082,7,3,50000,14593,0.29186,0.09728666667,heterogeneous
0.015,0.00885866790410082,7,3,50000,15548,0.31096,0.1036533333,heterogeneous
0.0,0.0112883789168469,7,3,50000,11593,0.23186,0.07728666667,heterogeneous
0.006,0.0112883789168469,7,3,50000,10783,0.21566,0.07188666667,heterogeneous
0.009,0.0112883789168469,7,3,50000,15202,0.30404,0.1013466667,heterogeneous
0.011,0.0112883789168469,7,3,50000,14343,0.28686,0.09562,heterogeneous
0.015,0.0112883789168469,7,3,50000,15836,0.31672,0.1055733333,heterogeneous
0.0,0.0143844988828766,7,3,50000,16651,0.33302,0.1110066667,heterogeneous
0.006,0.0143844988828766,7,3,50000,14334,0.28668,0.09556,heterogeneous
0.009,0.0143844988828766,7,3,50000,16758,0.33516,0.11172,heterogeneous
0.011,0.0143844988828766,7,3,50000,16747,0.33494,0.1116466667,heterogeneous
0.015,0.0143844988828766,7,3,50000,20778,0.41556,0.13852,heterogeneous
0.0,0.0183298071083244,7,3,50000,21107,0.42214,0.1407133333,heterogeneous
0.006,0.0183298071083244,7,3,50000,19270,0.3854,0.1284666667,heterogeneous
0.009,0.0183298071083244,7,3,50000,17902,0.35804,0.1193466667,heterogeneous
0.011,0.0183298071083244,7,3,50000,21499,0.42998,0.1433266667,heterogeneous
0.015,0.0183298071083244,7,3,50000,22458,0.44916,0.14972,heterogeneous
0.0,0.0233572146909012,7,3,50000,23795,0.4759,0.1586333333,heterogeneous
0.009,0.0233572146909012,7,3,50000,22655,0.4531,0.1510333333,heterogeneous
0.006,0.0233572146909012,7,3,50000,23932,0.47864,0.1595466667,heterogeneous
0.011,0.0233572146909012,7,3,50000,23649,0.47298,0.15766,heterogeneous
0.015,0.0233572146909012,7,3,50000,24017,0.48034,0.1601133333,heterogeneous
0.0,0.0297635144163132,7,3,50000,24635,0.4927,0.1642333333,heterogeneous
0.006,0.0297635144163132,7,3,50000,24956,0.49912,0.1663733333,heterogeneous
0.009,0.0297635144163132,7,3,50000,24672,0.49344,0.16448,heterogeneous
0.011,0.0297635144163132,7,3,50000,24672,0.49344,0.16448,heterogeneous
0.015,0.0297635144163132,7,3,50000,24605,0.4921,0.1640333333,heterogeneous
0.0,0.0379269019073225,7,3,50000,25042,0.50084,0.1669466667,heterogeneous
0.006,0.0379269019073225,7,3,50000,24970,0.4994,0.1664666667,heterogeneous
0.009,0.0379269019073225,7,3,50000,24869,0.49738,0.1657933333,heterogeneous
0.011,0.0379269019073225,7,3,50000,24941,0.49882,0.1662733333,heterogeneous
0.0,0.0483293023857175,7,3,50000,25034,0.50068,0.1668933333,heterogeneous
0.015,0.0379269019073225,7,3,50000,24858,0.49716,0.16572,heterogeneous
0.006,0.0483293023857175,7,3,50000,24850,0.497,0.1656666667,heterogeneous
0.009,0.0483293023857175,7,3,50000,25042,0.50084,0.1669466667,heterogeneous
0.011,0.0483293023857175,7,3,50000,25034,0.50068,0.1668933333,heterogeneous
0.015,0.0483293023857175,7,3,50000,25115,0.5023,0.1674333333,heterogeneous
